rotten_tomatoes_link,critic_name,top_critic,publisher_name,review_type,review_score,review_date,review_content
m/neil_young_journeys,Allan Hunter,False,Daily Express (UK),Fresh,3/5,2012-12-14,A mournful documentary that combines footage of Young in concert in Toronto with a bittersweet trip to his childhood home in Omemee in southern Ontario.
m/solo_a_star_wars_story,John Urbancich,False,Your Movies (cleveland.com),Fresh,3/5,2018-05-25,Han and Chewie heading into warp speed (then flashback) might have provided the early bolt the first act sorely needs. Still. it's an OK space vehicle for anyone but 'Star Wars' junkies likely expecting a better ride.
m/prairie_home_companion,Phoebe Flowers,False,South Florida Sun-Sentinel,Fresh,3/4,2006-06-08,"If one were to bring the sprawling program, which practically formulates nostalgia as a tangible commodity, to a movie screen, one couldn't hope for a better director than Robert Altman."
m/great_expectations_2012,Kyle Smith,True,New York Post,Fresh,2.5/4,2013-11-07,"An honorable, sober but completely unnecessary take on the Dickens novel, ""Great Expectations"" serves as a fine introduction to the story but won't excite those familiar with previous versions."
m/kinky_boots,Elizabeth Weitzman,True,New York Daily News,Rotten,2/4,2006-04-14,"Despite the subject matter, the script and direction are disappointingly conventional, though the performances are appealingly spirited."
m/red_dragon,Jim Judy,False,Screen It!,Fresh,7/10,2002-10-04,For the most part it's a decently effective thriller.
m/1175178-jane_austen_book_club,Gina Carbone,False,Seacoast Newspapers (NH/Maine),Fresh,3/4,2007-10-08,I challenge any man and woman who enjoyed Transformers or Resident Evil to watch The Jane Austen Book Club and see if they can't get through the whole thing without even one eye roll. I bet they can do it.
m/after_the_wedding_2019,Joni Blyth,False,One Room With A View,Fresh,4/5,2019-06-06,"Without the gender flip, After the Wedding couldn't really justify its own existence."
m/10009526-public_enemies,Richard Corliss,True,TIME Magazine,Rotten,,2009-06-30,All this docudrama grit allows for precious little dramatic juice.
m/1079818-anastasia,Madeleine Williams,False,Cinematter,Fresh,3/4,2000-01-01,
m/eastern_promises,Chris Hewitt,False,St. Paul Pioneer Press,Fresh,3.5/4,2007-09-21,"It's exciting, it's smart and it has something to say."
m/norbit,Drew Turney,False,Dark Horizons,Rotten,,2008-01-15,"The laughs are broad (pardon the pun), obtuse, and unsubtle."
m/beatles_the_yellow_submarine,Michael Sauter,True,Entertainment Weekly,Fresh,B,2014-12-08,"Sure, some of the puns and in-jokes sound a little dated, but any movie that strings together lines from Shakespeare merely as a throwaway comic riff is, in my book, a film for the ages."
m/war_dogs_2016,Brian Gibson,False,"Vue Weekly (Edmonton, Alberta)",Rotten,,2016-09-30,"More a bland weapons-biz infomercial (ending with the crime-doesn't-pay fine print blown up to fill your widescreen) than a hard, sharp look at gunrunning or war-profiteering."
m/1029314-dick_tracy,James Plath,False,Movie Metropolis,Fresh,7/10,2012-12-10,"""Dick Tracy"" isn't in the top tier of comic-book adaptations, but ingenuous art direction and set decoration and some crazy make-up jobs create a film that's still a delight to watch."
m/beautiful_girls,Janet Maslin,True,New York Times,Fresh,,2000-01-01,"Portman, a budding knockout, is scene-stealingly good even in an overly showy role."
m/1001193-around_the_world_in_80_days,MaryAnn Johanson,False,Flick Filosopher,Rotten,,2002-08-06,The novelty these far-flung places must have had for a 1956 audience is a bit lessened for the viewer today.
m/foxcatcher,Stuart Klawans,False,The Nation,Fresh,,2014-11-13,"A story filled with dread but no suspense: a fable of the misunderstanding, heartbreak, irony and absurdity that can abound in America when two social classes grapple in mutual desire and animosity."
m/carnage,J. R. Jones,True,Chicago Reader,Fresh,,2012-01-12,"Foster is particularly impressive in a stridently unattractive role, as the pinched, angry liberal who's orchestrated the meeting but doesn't get quite the apology she wants."
m/sling_blade,Brian D. Johnson,False,Maclean's Magazine,Fresh,,2019-10-30,"Stretched over 141 minutes, and threaded with humor, it is remarkably spare and simple, a slow movie about a slow man-Forrest Gump Unplugged."
m/melo,Dennis Schwartz,False,Dennis Schwartz Movie Reviews,Rotten,C+,2008-01-30,"It dishes out dollops of pain from among the Brahms' sonatas, and melodramatics that were dated long ago."
m/requiem_for_the_american_dream,Martin Tsai,True,Los Angeles Times,Fresh,,2016-03-11,"The film isn't necessarily pegged to the upcoming election per se, but the logic presented within helps make sense of current affairs."
m/anna_and_the_apocalypse,James Clay,False,Fresh Fiction,Rotten,D,2018-12-13,"ANNA AND THE APOCALYPSE is no doubt a crowd-pleaser that wears its heart on its bloody sleeve. That's fine and well, but a Christmas-zombie-musical has got to have a reason for its existence other than, ""Well, this sounds fun!"""
m/the_illusionist-2009,Christopher Lloyd,False,Sarasota Herald-Tribune,Fresh,4.5/5,2011-02-09,"The real reason little ones might not enjoy The Illusionist is that it's simply not intended for them. It's a poignant tale about regret, generosity and ungratefulness."
m/1078022-buddy,Frederic and Mary Ann Brussat,False,Spirituality & Practice,Fresh,,2002-02-27,A fine family film filled with rich lessons about animal and human interaction.
m/eagle_vs_shark,Jonathan Dean,False,Total Film,Fresh,3/5,2007-08-17,"Contrived? Yes. Second-hand ideas? A few. But this funny ha-ha, funny peculiar indie is lifted by a stand-out female lead - and writer-director Cohen could be the southern hemisphere's Jared Hess."
m/shazam,Vincent Mancini,False,FilmDrunk,Fresh,A-,2019-04-03,"Genuinely sweet and funny in a way that feels unforced. And whereas most superhero movies are inherently Calvinist, Shazam's refreshingly simple, straightforward message is ""don't be an asshole."""
m/to_gillian_on_her_37th_birthday,Jamie Gillies,False,Apollo Guide,Rotten,54/100,2002-07-13,
m/1159100-oh_in_ohio,Eric Lurio,False,Greenwich Village Gazette,Rotten,2.3/5,2006-07-15,This is too clever by half.
m/green_street_hooligans,John DeFore,True,Hollywood Reporter,Rotten,,2005-04-07,Viewers hoping to understand the senseless phenomenon of football hooliganism would do better to rent Alan Clarke's nearly 20-year-old The Firm.
m/paranorman,Yasmin Shehab,False,Cairo360,Fresh,4/5,2017-09-28,ParaNorman is just plain fun.
m/narco_cultura_2013,Peter Rainer,True,Christian Science Monitor,Fresh,A-,2013-12-13,"Photojournalist Shaul Schwarz's powerful documentary Narco Cultura gets inside the world of two men who, in very different ways, inhabit this horror."
m/funny_face,,False,Bullz-Eye.com,Fresh,4/5,1957-02-13,
m/1191742_changeling,Roger Moore,True,Orlando Sentinel,Fresh,3/5,2008-10-30,"If the film is too long and a little unwieldy in its later acts, the consummate craftsman in Eastwood glosses over that with detail and righteous rage."
m/scream_3,Susan E. Brown,False,PopMatters,Fresh,,2000-01-01,"No matter what its weaknesses may be, however, Scream 3 is easily as much fun as parts one and two, and just as suspenseful."
m/zootopia,Ali Gray,False,TheShiznit.co.uk,Fresh,5/5,2016-03-31,It is its own cinematic zooniverse.
m/dangerous_beauty,Malcolm Johnson,False,Hartford Courant,Rotten,,2018-04-25,"Only McCormack manages to breathe any urgency into a tale that takes far too long to escape the fate of too many films set in Venice, in which San Marco and the Grand Canal's gondola fleet overwhelm story and characters."
m/3_days_to_kill,Tim Grierson,False,Screen International,Rotten,,2014-02-20,"""3 Days"" feels interminable, both too generic in its execution and too pleased with its irreverent attitude."
m/by_the_sea_2015,Brian Orndorf,False,Blu-ray.com,Rotten,C,2015-11-18,"When it isn't permissive with performances and indulgent with its run time, the picture has a few insightful ideas to share about loss and marital strife, but it takes considerable work to find such wisdom."
m/sum_of_all_fears,Lawrence Toppman,False,Charlotte Observer,Fresh,3/4,2002-05-30,A middlebrow hybrid that should satisfy most fans of spy movies without blowing them away.
m/the_imposter_2012,Sean P. Means,False,Salt Lake Tribune,Fresh,3.5/4,2012-09-21,"Layton layers ""The Imposter"" with powerful images in the dramatic re-creations, as well as a brooding soundscape and a concise pacing that distributes its information with the reserve of a good mystery writer."
m/dear_wendy,Dan Jolin,False,Empire Magazine,Rotten,3/5,2005-08-05,"It's all very stagey and contrived, but thought-provoking nevertheless."
m/the_wilde_wedding,Chloe Walker,False,Film Inquiry,Rotten,,2017-10-04,"The Wilde Wedding is not very good. There are too many characters, which leaves no room for character development, or any meaningful arcs."
m/joker_2019,Kyle Pinion,False,Screen Rex,Rotten,,2019-10-03,Joker is basically an idiot's version of a thinking man's film.
m/oxbow_incident,Chuck O'Leary,False,Fantastica Daily,Fresh,4/5,2005-10-09,
m/1052609-kid,Harriette Underhill,False,New York Tribune,Fresh,,2019-11-06,"The Kid is a vastly entertaining picture, but there are some things in it which, we believe, were better left unsaid. Why is it that Chaplin, who is really an idealist, always has touches of vulgarity in his pictures?"
m/vicky_cristina_barcelona,Laura Clifford,False,Reeling Reviews,Fresh,B,2008-08-14,"Writer/director Woody Allen has assembled one of his most unusual casts for his latest, European set film and his combination of recent favorite, new discovery and local blood sizzles and sparks."
m/san_andreas,Steve Persall,False,Tampa Bay Times,Fresh,B,2015-06-18,"If you're caught in a movie between a rock and a hard place, choose the Rock every time."
m/rambo_last_blood,Andrea Chase,False,Killer Movie Reviews,Rotten,1/4,2019-09-21,Little more than a soft-core snuff film
m/dogville,Scott Foundas,False,L.A. Weekly,Fresh,,2004-03-25,"Has rarely been far from my mind in the 10 months following Cannes, during which time it has grown only richer, deeper and more complex than I initially estimated."
m/shame_2011,Thomas Caldwell,False,Cinema Autopsy,Fresh,4/5,2012-02-06,Despite the themes of detachment Shame is somehow also a beautiful film with just enough warm light glowing around the screen's edges to keep the audience entranced.
m/margaret_2010,A.O. Scott,True,New York Times,Rotten,,2011-09-29,"""Margaret"" was filmed in 2005 and has reportedly been delayed because of persistent editing problems. These do not seem to have been solved."
m/temple_grandin,Renee Schonfeld,False,Common Sense Media,Fresh,4/5,2010-09-21,Riveting true story of a young autistic woman's journey.
m/grave_of_the_fireflies,Daniel Etherington,False,Film4,Fresh,,2008-09-03,"Even though it's not exactly easy to watch the protracted deaths of two children, this is not only one of the greatest anime ever, but also an important (anti-) war film. A moving masterpiece."
m/non_stop_2013,Matt Prigge,False,Metro,Fresh,3/5,2014-02-26,"A thriller frontperson hasn't been this enjoyably, hilariously bad at their job since Denzel Washington in 'Out of Time.'"
m/nanny_mcphee_returns,Al Alexander,False,The Patriot Ledger,Rotten,C-,2015-07-19,The magic is gone.
m/nocturnal_animals,Angie Han,False,Slashfilm,Fresh,7/10,2017-06-13,"Ford doesn't have anything especially new or interesting to say about the nature of vengeance or love, or the emptiness of material riches. But Nocturnal Animals has fun and looks damn good saying it. Maybe that's enough."
m/steve_mcqueen_the_man_and_le_mans,Mark Kermode,False,Observer (UK),Rotten,2/5,2015-11-22,"Like Hearts of Darkness, this documentary follows the making of a movie on which more than a million feet of film was reportedly exposed, but sadly Le Mans is no Apocalypse Now."
m/cooler,Eric D. Snider,False,EricDSnider.com,Fresh,B+,2003-03-06,
m/the_guard_2011,Jeffrey M. Anderson,False,Combustible Celluloid,Fresh,3.5/4,2011-09-16,McDonagh's older brother John Michael McDonagh has done him one better with the awesome new The Guard.
m/a_serious_man,Calvin Wilson,True,St. Louis Post-Dispatch,Fresh,4/4,2009-10-14,Is A Serious Man funny? Absolutely - but in much the same way as the old joke about a fellow who loved to hit his own head because it felt so good when he stopped.
m/the_act_of_killing,Christopher Preston,False,One Room With A View,Fresh,4/5,2019-06-08,"Soaked in blood and haunted by ghosts, The Act of Killing is not an easy watch at all. But it is an incredibly rewarding one; this truly is cinema at its most important."
m/la_la_land,Aakash Karkare,False,Scroll.in,Fresh,,2016-12-09,[Chazelle] is able to maintain enough distance from his influences to infuse the story with touches of realism that ground it while at the same time maintaining a sense of playful whimsy that made its forebears so successful.
m/the_world_before_your_feet,Matthew Passantino,False,Film Threat,Fresh,7/10,2018-11-21,"At times, The World Before Your Feet can feel like a PowerPoint presentation but Green's story is worth being a part of simply because it's too crazy not to."
m/dark_skies_2013,Rebecca Davies,False,Film4,Fresh,,2013-04-03,Somehow this mishmash of borrowed ideas all comes together to create an unexpectedly solid genre movie.
m/queen_of_earth,Nikki Baughan,False,The List,Fresh,4/5,2016-06-27,"Queen of Earth plays like a horror. Yet, at its heart it is a devastating story of depression and its impact."
m/pokemon_detective_pikachu,Sandie Angulo Chen,False,Common Sense Media,Fresh,3/5,2019-05-08,Family-friendly mystery will be most fun for Pokémon fans.
m/amy_2015,Kiko Martinez,False,San Antonio Current,Fresh,A-,2018-01-26,A heartbreaking and eye-opening look into celebrity culture. Reveals the iconic singer's downfall with admiration and insight.
m/1212640-eclipse,Amber Wilkinson,False,Eye for Film,Rotten,2.5/5,2010-04-01,"You can't help being haunted by the thought that if McPherson had picked one genre and stuck to it he could have had a serious hit on his hands, as it is, the terrific performances are eclipsed by the unsettled tone."
m/prometheus_2012,Nick Pinkerton,True,Village Voice,Rotten,,2012-06-05,"With this overreaching Prometheus, Scott seems a bit like David carefully arranging his hair in imitation of O'Toole's Lawrence. He can still mimic the appearance of an epic, noble, important movie -- but the appearance is all."
m/the_rundown,Bruce Westbrook,True,Houston Chronicle,Fresh,B-,2003-09-26,"The Rundown wants to stand out in a movie market gorged with action. But it regurgitates commercial dictates rather than carving a new path. At least it relies on a diverse, charismatic cast, rather than on spectacular carnage."
m/the_greatest_showman_2017,Kristen Lopez,False,Spectrum Culture,Fresh,,2017-12-20,"The Greatest Showman will work best with musical purists, those who aren't turned off by spontaneous bursts of song and an overly sentimentalized view of history."
m/a_single_shot,Brian Tallerico,False,HollywoodChicago.com,Fresh,3/5,2013-09-18,Sam Rockwell has quietly developed into one of the most essential actors of his generation. A Single Shot may not be his best film or even his best work but it's another accomplishment for one of our best performers.
m/gods_of_egypt,Hilary A White,False,Sunday Independent (Ireland),Fresh,3/5,2016-06-20,A film designed for those days when you can't be bothered using your brain.
m/fly_away_home,Rebecca Murray,False,About.com,Fresh,3/5,2005-04-14,
m/a_star_is_born_2018,Jason Escamilla,False,EskimoTV,Fresh,B+,2019-05-23,"Despite slow pacing and an unsatisfying conclusion, ""A Star is Born"" is great due to the soundtrack and performances of Lady Gaga and Bradley Cooper."
m/cinema_paradiso,Roger Ebert,True,Chicago Sun-Times,Fresh,3.5/4,2002-06-28,"I'm happy to have seen it -- not as an alternate version, but as the ultimate exercise in viewing deleted scenes."
m/children_of_paradise,Robert Ellis,False,California Eagle,Fresh,,2019-10-30,Don't skip this one if you can. I saw it in Paris and it remains one of the most memorable pictures I've seen.
m/amelia_2009,Dan Lybarger,False,eFilmCritic.com,Rotten,2.5/5,2009-10-23,'Amelia' plays less like a movie and more like a timeline.
m/krampus,Robert Kojder,False,Flickering Myth,Fresh,3/5,2017-12-04,"Krampus actually gets darker as the movie progresses, ending on a note left open to interpretations either jovial or depressing, depending on your viewpoint"
m/carrie,Camilla Long,False,Sunday Times (UK),Fresh,3/5,2018-02-23,"It's good, gripping stuff: Moore is excellent as the pale and bedraggled cult escapee, and the storyline actually makes sense this time, with the help of some technology-assisted slut-shaming."
m/jim_the_james_foley_story,David Parkinson,False,Empire Magazine,Fresh,3/5,2016-09-01,"Well-meaning, sobering, but imperfect."
m/southside_with_you,Geoffrey Macnab,True,Independent (UK),Fresh,3/5,2016-01-28,It deserves success. Moreover it should make stars of Sawyers and Sumpter.
m/maidentrip,Christopher Campbell,False,Nonfics,Fresh,4/5,2014-05-30,"Such a wonderful teen movie. Dekker is a shining presence on screen, star material in a way that makes the film very watchable."
m/spiderman,Mark Palermo,False,"The Coast (Halifax, Nova Scotia)",Fresh,,2002-08-23,"Always striking the right balance of whimsy, peril, and real-world angst that's fueled Stan Lee and Steve Ditko's Marvel Comics creation."
m/brick,John Beifuss,False,"Commercial Appeal (Memphis, TN)",Fresh,3.5/4,2006-06-30,"What's most impressive here isn't the conceit of the premise but the economy of the direction, as when Johnson uses a few simple shots and an off-camera clanging-metal sound effect to cause us to feel the pain of a thug crashing head-first into a pole..."
m/serious_moonlight,Wade Major,False,Boxoffice Magazine,Rotten,2.5/5,2009-12-04,"The movie conversely feels disengaged and misdirected, a forgettable reminder that every clever idea does not a good movie make."
m/super_8,Matthew Lucas,False,"The Dispatch (Lexington, NC)",Rotten,2.5/4,2019-06-08,Feels more like a faded memory than a movie.
m/rachel_getting_married,Richard Knight,False,Windy City Times,Fresh,,2008-10-13,Captures what has to be one of the coolest and most emotionally enthralling wedding celebrations ever. It's simply a great movie.
m/dagon,Marjorie Baumgarten,False,Austin Chronicle,Fresh,3/5,2002-07-12,
m/star_trek_beyond,Kate Muir,True,Times (UK),Fresh,4/5,2016-07-21,It delivers a satisfying and amusing dollop of sci-fi comfort food.
m/the_commune_2017,Paul Whitington,False,Irish Independent,Fresh,3/5,2016-08-01,"Nice looking and well acted, The Commune is afflicted by melodramatic tendencies that eventually overwhelm it. But there are rich dramatic moments, and Trine Dyrholm is exceptional."
m/20_feet_from_stardom,Diva Velez,False,TheDivaReview.com,Fresh,4.5/5,2013-06-23,With its pulsating soundtrack and compelling subject matter 20 Feet from Stardom is an exuberant celebration of some of modern music's most invaluable and unsung heroines.
m/a_wrinkle_in_time_2018,Gary Wolcott,False,Tri-City Herald,Rotten,1/5,2018-03-09,Too much time. Not enough wrinkles. Director Ava DuVernay wants me to imagine being 12 again. The 12-year old in me didn't like it and 12-year olds today won't either.
m/evelyn,Matt Brunson,False,Creative Loafing,Fresh,2.5/4,2003-02-26,"Adults might find the movie on the slight side, though it's a good choice for family night viewing."
m/days_and_clouds,Gary Goldstein,True,Los Angeles Times,Fresh,3.5/5,2008-09-26,An intelligent adult drama that's especially relevant in these harsh economic times.
m/bad_education_2019,Angie Han,False,FilmWeek (KPCC - NPR Los Angeles),Fresh,,2020-04-24,It managed to avoid sensationalizing the story or oversimplifying the characters in a way that I found to be really engaging.
m/it_2017,Nigel Andrews,True,Financial Times,Rotten,3/5,2017-09-07,The last hour collapses into junk.
m/1184827-alvin_and_the_chipmunks,Stephen Cole,True,Globe and Mail,Rotten,2/4,2007-12-14,"By the end of the movie, even the Chipmunks' youngest fans will find themselves wishing that Alvin and the boys would get back to where they once belonged: a tree."
m/girl_with_the_red_riding_hood,Matthew Turner,False,ViewLondon,Rotten,2/5,2011-04-14,"Red Riding Hood is a fantasy fairy tale with a twist of Twilight, but it doesn't quite come together, despite some striking images and a strong performance from Seyfried."
m/san_andreas,James Kendrick,False,Q Network Film Desk,Rotten,2.5/4,2015-06-10,"its disaster spectacle and sense of moral reckoning is hung on exactly the same narrative backbone as Emmerich's world-shattering ""2012"""
m/in_the_company_of_men,Shannon J. Harvey,False,Sunday Times (Australia),Fresh,5/5,2003-05-18,"Brilliant black comedy - razor sharp, unapologetic stuff."
m/we_own_the_night,Nick Pinkerton,True,Village Voice,Fresh,,2007-10-09,"Helpless with comedy, heavily reliant on coincidence, and out of step with all current cinematic vogue, We Own the Night finally resonates as a beautiful, dolorous nocturne."
m/spirited_away,Walter Chaw,False,Film Freak Central,Fresh,4/4,2002-10-09,"At its heart and most importantly, Spirited Away concerns a little girl learning to honour her friends and her family by valuing herself."
m/up_on_the_glass,Nathaniel Muir,False,AIPT,Fresh,6/10,2020-09-07,"There is a lot of familiar ground covered, but the way it looks at self worth and class makes it stand out."
m/10009225-body_of_lies,Nell Minow,False,Beliefnet,Fresh,B-,2008-10-09,The movie has the fungible quality of the kind of book you buy for an airplane trip and toss as soon as you arrive.
m/upside_of_anger,Dan Lybarger,False,eFilmCritic.com,Fresh,4/5,2005-04-03,"By treating his deeply flawed characters with equally deep warmth, Binder manages to tell viewers not to let bitterness consume them without coming off like a hypocrite."
m/brigsby_bear_2017,Manohla Dargis,True,New York Times,Fresh,,2017-07-27,Mostly it's a sweet and sometimes delightful melancholic story of a lonely man saved by imagination and love.
m/straw-dogs-2011,Eric Melin,False,Scene-Stealers.com,Rotten,1.5/4,2012-01-13,"It doesn't even work as a thriller. And of course, like the 70s original, it just turns into an all-out blood bath at the end - which can't help but notch up the campiness."
m/abominable,Sarah Cartland,False,Caution Spoilers,Fresh,4/5,2019-10-10,"A familiar tale, beautifully told. Who wouldn't be delighted by Everest the yeti -- the friendliest, fluffiest mythical monster you could ever hope to meet."
m/facing_windows,Geoff Pevere,True,Toronto Star,Rotten,2/5,2004-07-09,It's ultimately as soft and hollow as fresh-baked Italian bread.
m/great_day_in_harlem,Lisa Schwarzbaum,True,Entertainment Weekly,Fresh,B+,2011-09-07,
m/shazam,Brian Viner,False,Daily Mail (UK),Fresh,3/5,2019-04-05,"Sadly, all this takes far too long to get going - the film could lose 15 minutes at both ends - but it's fun when it does, and Levi milks every drop of goofy comedy out of the superhero guise."
m/kinky_boots,Matt Pais,False,Metromix.com,Rotten,2.5/4,2006-05-04,"Ejiofor sure can sashay and belt out a show-stopping number, but Kinky Boots is too busy putting on its heels to kick 'em off and boogie."
m/malibus_most_wanted,Steven Snyder,False,Zertinet Movies,Rotten,2/4,2003-04-16,"There's one joke in ""Malibu's Most Wanted."" One joke, repeated over and over, for ninety minutes."
m/minions,Dustin Putman,False,TheFilmFile.com,Fresh,2.5/4,2015-07-08,"A frothy family comedy, no more and no less. It may not endure the way the best animated films do, but as an answer to where these cheerful yellow servants of villainy come from, it proves a good deal more winning than most will be expecting."
m/rejoice_and_shout,Noel Murray,True,AV Club,Rotten,C+,2011-06-02,"It's all loosely assembled, with less of an eye toward storytelling and more of a rambling ""and then Mahalia Jackson came along"" approach."
m/1213999-brothers,Dana Stevens,True,Slate,Rotten,,2009-12-04,"After watching this movie, I had what you might call Portman Traumautic Stress Disorder, a condition that leaves you twitchy, irritable, and in need of a well-acted light comedy."
m/the_double_2013,Rachel Bowles,False,The Skinny,Fresh,4/5,2014-02-27,"Richard Ayoade deftly crafts humanist comedy from dark, Kafkaesque absurdity in his Dostoyevsky adaptation The Double."
m/the_nutcracker_and_the_four_realms,Ian Thomas Malone,False,Ian Thomas Malone,Rotten,,2018-11-05,The Nutcracker and the Four Realms is an utterly forgettable visual splendor.
m/cats_and_dogs,Melissa Ward Aguilar,True,Houston Chronicle,Fresh,,2001-07-05,There is some mild language and lots of animal slapstick --  la Wile E. Coyote vs. Roadrunner -- that may be a little much for small children. But most kids will find the action fun and the animals hilarious.
m/lemony_snicket,Robert K. Elder,True,Chicago Tribune,Fresh,4/4,2004-12-16,"Exceptionally clever, hilariously gloomy and bitingly subversive."
m/the_wind_rises,Brian Formo,False,CraveOnline,Fresh,9.5/10,2014-02-20,"The Wind Rises is a masterpiece of light, motion and transition."
m/stories_we_tell,Andrew O'Hehir,True,Salon.com,Fresh,,2013-05-09,"""Stories We Tell"" is two or maybe three dangerous kinds of movies all at the same time, and handled so brilliantly that the result is a transformative, unforgettable work of art."
m/jig,Leslie Felperin,True,Variety,Rotten,,2011-05-10,"There are too many personal stories and themes (rivalry, triumph over adversity, the nobility of sportsmanlike determination...) slugging it out here."
m/family_stone,Nell Minow,False,Movie Mom,Fresh,B,2005-12-21,"Like the character of Meredith, the film's bravado cannot mask a messy soul but should be given respect for showing up and sticking it out."
m/riddick,Mark Kermode,False,Observer (UK),Rotten,2/5,2013-09-09,"The script promptly shoots itself in the equal-ops foot with some repellently ill-judged rapey ""humour"", promptly undermining any residual goodwill."
m/king_of_kong,Kenneth Turan,True,Los Angeles Times,Fresh,3.5/5,2007-08-16,A sprightly new documentary that's as compulsively watchable as the vintage video game it focuses on is addictive.
m/oliver,Mike Massie,False,Gone With The Twins,Fresh,7/10,2020-08-27,"Even during quieter, less creative moments, it's difficult not to find the tale of an unloved orphan discovering a previously unknown concept of happiness a stirring occasion."
m/mustang_2015,Yonca Talu,False,Film Comment Magazine,Fresh,4/5,2015-11-04,"Ergven films their blossoming bodies with the same unyielding energy and liberates her narrative-a skillful blend of tragedy and fable-from genre constraints, crafting her own brand of magical realism instead."
m/the_whistleblower,Rob Thomas,False,"Capital Times (Madison, WI)",Fresh,3/4,2011-10-21,"Weisz is made for this kind of role; from ""Constant Gardener"" to ""Enemy at the Gates,"" few actors can do absolute, unshakable conviction so well on screen."
m/denial_2016,Rick Kisonak,False,Seven Days,Fresh,4.5/5,2017-01-01,"Truth, as we know, can be stranger than fiction. One piece of evidence is the fascinating, affecting courtroom drama Denial."
m/bill_cunningham_new_york_2010,Pam Grady,False,Boxoffice Magazine,Fresh,4/5,2011-03-15,"A warm, lively portrait of the artist."
m/the_predator,Jonita Davis,False,Black Girl Nerds,Rotten,1/5,2018-09-11,"This is not 'The Predator' we were promised, nor is it one we ever needed in the franchise."
m/justice_league_2017,Peter Howell,True,Toronto Star,Rotten,1.5/4,2017-11-15,"The film is marginally better than last year's sour and dispiriting Batman v Superman: Dawn of Justice, but that's like saying that dental surgery is preferable to passing a kidney stone."
m/brothers_grimm,Mike Clark,True,USA Today,Rotten,2/4,2005-08-26,The best thing to be said about this expensive but drab wannabe mirthmaker is that it has some of its director's quirky touches.
m/religulous,Peter Sobczynski,False,eFilmCritic.com,Rotten,2/5,2008-10-02,"Some of it is very funny--I can't remember the last time I laughed as much at a film that I didn't really like--but after a while, both Maher and the film become more than a little tiresome."
m/spider_man_into_the_spider_verse,Jeffrey M. Anderson,False,San Francisco Examiner,Fresh,4/4,2018-12-17,"Not quite like anything you've seen before. It's amazing, astonishing and spectacular."
