rotten_tomatoes_link,critic_name,top_critic,publisher_name,review_type,review_score,review_date,review_content
m/neil_young_journeys,Allan Hunter,False,Daily Express (UK),Fresh,3/5,2012-12-14,A mournful documentary that combines footage of Young in concert in Toronto with a bittersweet trip to his childhood home in Omemee in southern Ontario.
m/solo_a_star_wars_story,John Urbancich,False,Your Movies (cleveland.com),Fresh,3/5,2018-05-25,Han and Chewie heading into warp speed (then flashback) might have provided the early bolt the first act sorely needs. Still. it's an OK space vehicle for anyone but 'Star Wars' junkies likely expecting a better ride.
m/prairie_home_companion,Phoebe Flowers,False,South Florida Sun-Sentinel,Fresh,3/4,2006-06-08,"If one were to bring the sprawling program, which practically formulates nostalgia as a tangible commodity, to a movie screen, one couldn't hope for a better director than Robert Altman."
m/great_expectations_2012,Kyle Smith,True,New York Post,Fresh,2.5/4,2013-11-07,"An honorable, sober but completely unnecessary take on the Dickens novel, ""Great Expectations"" serves as a fine introduction to the story but won't excite those familiar with previous versions."
m/kinky_boots,Elizabeth Weitzman,True,New York Daily News,Rotten,2/4,2006-04-14,"Despite the subject matter, the script and direction are disappointingly conventional, though the performances are appealingly spirited."
m/red_dragon,Jim Judy,False,Screen It!,Fresh,7/10,2002-10-04,For the most part it's a decently effective thriller.
m/1175178-jane_austen_book_club,Gina Carbone,False,Seacoast Newspapers (NH/Maine),Fresh,3/4,2007-10-08,I challenge any man and woman who enjoyed Transformers or Resident Evil to watch The Jane Austen Book Club and see if they can't get through the whole thing without even one eye roll. I bet they can do it.
m/after_the_wedding_2019,Joni Blyth,False,One Room With A View,Fresh,4/5,2019-06-06,"Without the gender flip, After the Wedding couldn't really justify its own existence."
m/10009526-public_enemies,Richard Corliss,True,TIME Magazine,Rotten,,2009-06-30,All this docudrama grit allows for precious little dramatic juice.
m/1079818-anastasia,Madeleine Williams,False,Cinematter,Fresh,3/4,2000-01-01,
m/eastern_promises,Chris Hewitt,False,St. Paul Pioneer Press,Fresh,3.5/4,2007-09-21,"It's exciting, it's smart and it has something to say."
m/norbit,Drew Turney,False,Dark Horizons,Rotten,,2008-01-15,"The laughs are broad (pardon the pun), obtuse, and unsubtle."
m/beatles_the_yellow_submarine,Michael Sauter,True,Entertainment Weekly,Fresh,B,2014-12-08,"Sure, some of the puns and in-jokes sound a little dated, but any movie that strings together lines from Shakespeare merely as a throwaway comic riff is, in my book, a film for the ages."
m/war_dogs_2016,Brian Gibson,False,"Vue Weekly (Edmonton, Alberta)",Rotten,,2016-09-30,"More a bland weapons-biz infomercial (ending with the crime-doesn't-pay fine print blown up to fill your widescreen) than a hard, sharp look at gunrunning or war-profiteering."
m/1029314-dick_tracy,James Plath,False,Movie Metropolis,Fresh,7/10,2012-12-10,"""Dick Tracy"" isn't in the top tier of comic-book adaptations, but ingenuous art direction and set decoration and some crazy make-up jobs create a film that's still a delight to watch."
m/beautiful_girls,Janet Maslin,True,New York Times,Fresh,,2000-01-01,"Portman, a budding knockout, is scene-stealingly good even in an overly showy role."
m/1001193-around_the_world_in_80_days,MaryAnn Johanson,False,Flick Filosopher,Rotten,,2002-08-06,The novelty these far-flung places must have had for a 1956 audience is a bit lessened for the viewer today.
m/foxcatcher,Stuart Klawans,False,The Nation,Fresh,,2014-11-13,"A story filled with dread but no suspense: a fable of the misunderstanding, heartbreak, irony and absurdity that can abound in America when two social classes grapple in mutual desire and animosity."
m/carnage,J. R. Jones,True,Chicago Reader,Fresh,,2012-01-12,"Foster is particularly impressive in a stridently unattractive role, as the pinched, angry liberal who's orchestrated the meeting but doesn't get quite the apology she wants."
m/sling_blade,Brian D. Johnson,False,Maclean's Magazine,Fresh,,2019-10-30,"Stretched over 141 minutes, and threaded with humor, it is remarkably spare and simple, a slow movie about a slow man-Forrest Gump Unplugged."
m/melo,Dennis Schwartz,False,Dennis Schwartz Movie Reviews,Rotten,C+,2008-01-30,"It dishes out dollops of pain from among the Brahms' sonatas, and melodramatics that were dated long ago."
m/requiem_for_the_american_dream,Martin Tsai,True,Los Angeles Times,Fresh,,2016-03-11,"The film isn't necessarily pegged to the upcoming election per se, but the logic presented within helps make sense of current affairs."
m/anna_and_the_apocalypse,James Clay,False,Fresh Fiction,Rotten,D,2018-12-13,"ANNA AND THE APOCALYPSE is no doubt a crowd-pleaser that wears its heart on its bloody sleeve. That's fine and well, but a Christmas-zombie-musical has got to have a reason for its existence other than, ""Well, this sounds fun!"""
m/the_illusionist-2009,Christopher Lloyd,False,Sarasota Herald-Tribune,Fresh,4.5/5,2011-02-09,"The real reason little ones might not enjoy The Illusionist is that it's simply not intended for them. It's a poignant tale about regret, generosity and ungratefulness."
m/1078022-buddy,Frederic and Mary Ann Brussat,False,Spirituality & Practice,Fresh,,2002-02-27,A fine family film filled with rich lessons about animal and human interaction.
m/eagle_vs_shark,Jonathan Dean,False,Total Film,Fresh,3/5,2007-08-17,"Contrived? Yes. Second-hand ideas? A few. But this funny ha-ha, funny peculiar indie is lifted by a stand-out female lead - and writer-director Cohen could be the southern hemisphere's Jared Hess."
m/shazam,Vincent Mancini,False,FilmDrunk,Fresh,A-,2019-04-03,"Genuinely sweet and funny in a way that feels unforced. And whereas most superhero movies are inherently Calvinist, Shazam's refreshingly simple, straightforward message is ""don't be an asshole."""
m/to_gillian_on_her_37th_birthday,Jamie Gillies,False,Apollo Guide,Rotten,54/100,2002-07-13,
m/1159100-oh_in_ohio,Eric Lurio,False,Greenwich Village Gazette,Rotten,2.3/5,2006-07-15,This is too clever by half.
m/green_street_hooligans,John DeFore,True,Hollywood Reporter,Rotten,,2005-04-07,Viewers hoping to understand the senseless phenomenon of football hooliganism would do better to rent Alan Clarke's nearly 20-year-old The Firm.
m/paranorman,Yasmin Shehab,False,Cairo360,Fresh,4/5,2017-09-28,ParaNorman is just plain fun.
m/narco_cultura_2013,Peter Rainer,True,Christian Science Monitor,Fresh,A-,2013-12-13,"Photojournalist Shaul Schwarz's powerful documentary Narco Cultura gets inside the world of two men who, in very different ways, inhabit this horror."
m/funny_face,,False,Bullz-Eye.com,Fresh,4/5,1957-02-13,
m/1191742_changeling,Roger Moore,True,Orlando Sentinel,Fresh,3/5,2008-10-30,"If the film is too long and a little unwieldy in its later acts, the consummate craftsman in Eastwood glosses over that with detail and righteous rage."
m/scream_3,Susan E. Brown,False,PopMatters,Fresh,,2000-01-01,"No matter what its weaknesses may be, however, Scream 3 is easily as much fun as parts one and two, and just as suspenseful."
m/zootopia,Ali Gray,False,TheShiznit.co.uk,Fresh,5/5,2016-03-31,It is its own cinematic zooniverse.
m/dangerous_beauty,Malcolm Johnson,False,Hartford Courant,Rotten,,2018-04-25,"Only McCormack manages to breathe any urgency into a tale that takes far too long to escape the fate of too many films set in Venice, in which San Marco and the Grand Canal's gondola fleet overwhelm story and characters."
m/3_days_to_kill,Tim Grierson,False,Screen International,Rotten,,2014-02-20,"""3 Days"" feels interminable, both too generic in its execution and too pleased with its irreverent attitude."
m/by_the_sea_2015,Brian Orndorf,False,Blu-ray.com,Rotten,C,2015-11-18,"When it isn't permissive with performances and indulgent with its run time, the picture has a few insightful ideas to share about loss and marital strife, but it takes considerable work to find such wisdom."
m/sum_of_all_fears,Lawrence Toppman,False,Charlotte Observer,Fresh,3/4,2002-05-30,A middlebrow hybrid that should satisfy most fans of spy movies without blowing them away.
m/the_imposter_2012,Sean P. Means,False,Salt Lake Tribune,Fresh,3.5/4,2012-09-21,"Layton layers ""The Imposter"" with powerful images in the dramatic re-creations, as well as a brooding soundscape and a concise pacing that distributes its information with the reserve of a good mystery writer."
m/dear_wendy,Dan Jolin,False,Empire Magazine,Rotten,3/5,2005-08-05,"It's all very stagey and contrived, but thought-provoking nevertheless."
m/the_wilde_wedding,Chloe Walker,False,Film Inquiry,Rotten,,2017-10-04,"The Wilde Wedding is not very good. There are too many characters, which leaves no room for character development, or any meaningful arcs."
m/joker_2019,Kyle Pinion,False,Screen Rex,Rotten,,2019-10-03,Joker is basically an idiot's version of a thinking man's film.
m/oxbow_incident,Chuck O'Leary,False,Fantastica Daily,Fresh,4/5,2005-10-09,
m/1052609-kid,Harriette Underhill,False,New York Tribune,Fresh,,2019-11-06,"The Kid is a vastly entertaining picture, but there are some things in it which, we believe, were better left unsaid. Why is it that Chaplin, who is really an idealist, always has touches of vulgarity in his pictures?"
m/vicky_cristina_barcelona,Laura Clifford,False,Reeling Reviews,Fresh,B,2008-08-14,"Writer/director Woody Allen has assembled one of his most unusual casts for his latest, European set film and his combination of recent favorite, new discovery and local blood sizzles and sparks."
m/san_andreas,Steve Persall,False,Tampa Bay Times,Fresh,B,2015-06-18,"If you're caught in a movie between a rock and a hard place, choose the Rock every time."
m/rambo_last_blood,Andrea Chase,False,Killer Movie Reviews,Rotten,1/4,2019-09-21,Little more than a soft-core snuff film
m/dogville,Scott Foundas,False,L.A. Weekly,Fresh,,2004-03-25,"Has rarely been far from my mind in the 10 months following Cannes, during which time it has grown only richer, deeper and more complex than I initially estimated."
m/shame_2011,Thomas Caldwell,False,Cinema Autopsy,Fresh,4/5,2012-02-06,Despite the themes of detachment Shame is somehow also a beautiful film with just enough warm light glowing around the screen's edges to keep the audience entranced.
m/margaret_2010,A.O. Scott,True,New York Times,Rotten,,2011-09-29,"""Margaret"" was filmed in 2005 and has reportedly been delayed because of persistent editing problems. These do not seem to have been solved."
m/temple_grandin,Renee Schonfeld,False,Common Sense Media,Fresh,4/5,2010-09-21,Riveting true story of a young autistic woman's journey.
m/grave_of_the_fireflies,Daniel Etherington,False,Film4,Fresh,,2008-09-03,"Even though it's not exactly easy to watch the protracted deaths of two children, this is not only one of the greatest anime ever, but also an important (anti-) war film. A moving masterpiece."
m/non_stop_2013,Matt Prigge,False,Metro,Fresh,3/5,2014-02-26,"A thriller frontperson hasn't been this enjoyably, hilariously bad at their job since Denzel Washington in 'Out of Time.'"
m/nanny_mcphee_returns,Al Alexander,False,The Patriot Ledger,Rotten,C-,2015-07-19,The magic is gone.
m/nocturnal_animals,Angie Han,False,Slashfilm,Fresh,7/10,2017-06-13,"Ford doesn't have anything especially new or interesting to say about the nature of vengeance or love, or the emptiness of material riches. But Nocturnal Animals has fun and looks damn good saying it. Maybe that's enough."
m/steve_mcqueen_the_man_and_le_mans,Mark Kermode,False,Observer (UK),Rotten,2/5,2015-11-22,"Like Hearts of Darkness, this documentary follows the making of a movie on which more than a million feet of film was reportedly exposed, but sadly Le Mans is no Apocalypse Now."
m/cooler,Eric D. Snider,False,EricDSnider.com,Fresh,B+,2003-03-06,
m/the_guard_2011,Jeffrey M. Anderson,False,Combustible Celluloid,Fresh,3.5/4,2011-09-16,McDonagh's older brother John Michael McDonagh has done him one better with the awesome new The Guard.
m/a_serious_man,Calvin Wilson,True,St. Louis Post-Dispatch,Fresh,4/4,2009-10-14,Is A Serious Man funny? Absolutely - but in much the same way as the old joke about a fellow who loved to hit his own head because it felt so good when he stopped.
m/the_act_of_killing,Christopher Preston,False,One Room With A View,Fresh,4/5,2019-06-08,"Soaked in blood and haunted by ghosts, The Act of Killing is not an easy watch at all. But it is an incredibly rewarding one; this truly is cinema at its most important."
m/la_la_land,Aakash Karkare,False,Scroll.in,Fresh,,2016-12-09,[Chazelle] is able to maintain enough distance from his influences to infuse the story with touches of realism that ground it while at the same time maintaining a sense of playful whimsy that made its forebears so successful.
m/the_world_before_your_feet,Matthew Passantino,False,Film Threat,Fresh,7/10,2018-11-21,"At times, The World Before Your Feet can feel like a PowerPoint presentation but Green's story is worth being a part of simply because it's too crazy not to."
m/dark_skies_2013,Rebecca Davies,False,Film4,Fresh,,2013-04-03,Somehow this mishmash of borrowed ideas all comes together to create an unexpectedly solid genre movie.
m/queen_of_earth,Nikki Baughan,False,The List,Fresh,4/5,2016-06-27,"Queen of Earth plays like a horror. Yet, at its heart it is a devastating story of depression and its impact."
m/pokemon_detective_pikachu,Sandie Angulo Chen,False,Common Sense Media,Fresh,3/5,2019-05-08,Family-friendly mystery will be most fun for Pokémon fans.
m/amy_2015,Kiko Martinez,False,San Antonio Current,Fresh,A-,2018-01-26,A heartbreaking and eye-opening look into celebrity culture. Reveals the iconic singer's downfall with admiration and insight.
m/1212640-eclipse,Amber Wilkinson,False,Eye for Film,Rotten,2.5/5,2010-04-01,"You can't help being haunted by the thought that if McPherson had picked one genre and stuck to it he could have had a serious hit on his hands, as it is, the terrific performances are eclipsed by the unsettled tone."
m/prometheus_2012,Nick Pinkerton,True,Village Voice,Rotten,,2012-06-05,"With this overreaching Prometheus, Scott seems a bit like David carefully arranging his hair in imitation of O'Toole's Lawrence. He can still mimic the appearance of an epic, noble, important movie -- but the appearance is all."
m/the_rundown,Bruce Westbrook,True,Houston Chronicle,Fresh,B-,2003-09-26,"The Rundown wants to stand out in a movie market gorged with action. But it regurgitates commercial dictates rather than carving a new path. At least it relies on a diverse, charismatic cast, rather than on spectacular carnage."
m/the_greatest_showman_2017,Kristen Lopez,False,Spectrum Culture,Fresh,,2017-12-20,"The Greatest Showman will work best with musical purists, those who aren't turned off by spontaneous bursts of song and an overly sentimentalized view of history."
m/a_single_shot,Brian Tallerico,False,HollywoodChicago.com,Fresh,3/5,2013-09-18,Sam Rockwell has quietly developed into one of the most essential actors of his generation. A Single Shot may not be his best film or even his best work but it's another accomplishment for one of our best performers.
m/gods_of_egypt,Hilary A White,False,Sunday Independent (Ireland),Fresh,3/5,2016-06-20,A film designed for those days when you can't be bothered using your brain.
m/fly_away_home,Rebecca Murray,False,About.com,Fresh,3/5,2005-04-14,
m/a_star_is_born_2018,Jason Escamilla,False,EskimoTV,Fresh,B+,2019-05-23,"Despite slow pacing and an unsatisfying conclusion, ""A Star is Born"" is great due to the soundtrack and performances of Lady Gaga and Bradley Cooper."
m/cinema_paradiso,Roger Ebert,True,Chicago Sun-Times,Fresh,3.5/4,2002-06-28,"I'm happy to have seen it -- not as an alternate version, but as the ultimate exercise in viewing deleted scenes."
m/children_of_paradise,Robert Ellis,False,California Eagle,Fresh,,2019-10-30,Don't skip this one if you can. I saw it in Paris and it remains one of the most memorable pictures I've seen.
m/amelia_2009,Dan Lybarger,False,eFilmCritic.com,Rotten,2.5/5,2009-10-23,'Amelia' plays less like a movie and more like a timeline.
m/krampus,Robert Kojder,False,Flickering Myth,Fresh,3/5,2017-12-04,"Krampus actually gets darker as the movie progresses, ending on a note left open to interpretations either jovial or depressing, depending on your viewpoint"
m/carrie,Camilla Long,False,Sunday Times (UK),Fresh,3/5,2018-02-23,"It's good, gripping stuff: Moore is excellent as the pale and bedraggled cult escapee, and the storyline actually makes sense this time, with the help of some technology-assisted slut-shaming."
m/jim_the_james_foley_story,David Parkinson,False,Empire Magazine,Fresh,3/5,2016-09-01,"Well-meaning, sobering, but imperfect."
m/southside_with_you,Geoffrey Macnab,True,Independent (UK),Fresh,3/5,2016-01-28,It deserves success. Moreover it should make stars of Sawyers and Sumpter.
